feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
compare2016__opensmile_compare2016_shimmerLocal_sma_quartile2,0.039783403314999306,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,138,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_5_lpc0,0.03967716430372669,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,139,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_11_lpc4,0.03956486081906422,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,140,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_48_std,0.03916467661554262,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,141,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_06_q25,0.039130067401836506,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,142,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_jitterDDP_sma_iqr1_3,0.03883196424575779,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,143,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_3_upleveltime75,0.038482856218037084,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,144,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_1_pctlrange0_1,0.038368715868860225,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,145,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralEntropy_sma_de_flatness,0.03802173520128594,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,146,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_11_lpc2,0.03794786695840532,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,147,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_F0final_sma_upleveltime75,0.03786014191550684,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,148,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audspecRasta_lengthL1norm_sma_peakRangeRel,0.0378557922109854,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,149,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_14_segLenStddev,0.03776262018645072,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,150,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_8_meanPeakDist,0.03771046690684284,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,151,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_14_min,0.037409862411427866,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,152,1,compare_is10_top800_lightgbm,800.0,True
strong__delta2_mfcc_03_median,0.0372109311986888,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,153,1,compare_is10_top800_lightgbm,800.0,True
